Продукты	категория	Несъедобная часть %	Белки г	Жиры г	Усвояемые углеводы г	Натрий	Калий	Кальций	Магний	Фосфор	Железо	Каротин	А	В1	В2	РР	С	Энерго-ценность, ккал
мука пшеничная	крупа	0	10.3	1.1	68.9	3	122	18	16	86	1.2	0	0	0.17	0.04	1.2	0	334
маннка	крупа	0	10.3	1	67.7	3	130	20	18	85	1	0	0	0.14	0.04	1.2	0	328
гречка	крупа	1	12.6	3.3	62.1	3	380	20	200	298	6.7	0.01	0	0.43	0.2	4.19	0	335
крупа кукурузная	крупа	0.5	8.3	1.2	71.6	4	147	20	36	109	2.7	0.2	0	0.13	0.07	1.1	0	337
овсянка	крупа	0	11	6.2	50.1	20	330	52	129	328	1.8	0	0	0.45	0.1	1	0	305
сахар	сладости	0	0	0	99.8	1	3	2	0	0	0.3	0	0	0	0	0	0	379
крахмал	сладости	0	0.1	0	79.6	6	15	40	0	77	0	0	0	0	0	0	0	327
мёд	сладости	0	0.8	0	80.3	10	36	14	3	18	0.8	0	0	0.01	0.03	0.2	0	0
шоколад	сладости	0	6.9	35.7	52.4	80	457	199	67	241	5	0.04	0.02	0.05	0.26	0.5	0	0
вафли	сладости	0	3.2	2.8	80.1	5	33	10	2	33	0.6	0	0	0.04	0.01	0.1	0	350
молоко	молочка	0	2.8	3.2	4.7	50	146	120	14	90	0.06	0.02	0.01	0.04	0.15	0.1	1.3	58
кефир	молочка	0	2.8	3.2	4.1	50	146	120	14	95	0.1	0.01	0.02	0.03	0.17	0.14	0	0
говядина	мясо	25	18.6	16	0	65	325	9	22	188	2.7	0	0	0.06	0.15	4.7	0	218
свинина мясная	мясо	15	14.3	33.3	0	58	285	7	24	164	1.7	0	0	0.52	0.14	2.6	0	357
свинина жирная	мясо	12	11.7	49.3	0	47	230	6	20	130	1.4	0	0	0.4	0.1	2.2	0	0
сосиски	мясо	1.5	11	23.9	1.6	807	220	35	20	159	1.8	0	0	0	0	0	0	266
сардельки	мясо	1.5	11.4	18.4	1.5	823	183	26	16	131	1.8	0	0	0.04	0.09	2.2	0	0
к. вареная	мясо	1	15	11.7	0	959	281	23	21	209	3.5	0	0	0.06	0.13	3.5	0	165
к. любительская	мясо	1	12.2	28	0	900	211	19	17	146	1.7	0	0	0.25	0.18	2.47	0	301
к. сырокопченая	мясо	1	24.8	41.5	0	2203	277	36	28	225	2.1	0	0	0.5	0.17	3.4	0	534
тушенка	мясо	0	16.8	17	0	444	284	14	19	178	2.4	0	0	0.02	0.15	4	0	220
Горбуша	рыба	42	21	7	0	100	335	20	30	200	0.6	0	0.03	0.2	0.16	2.5	0	147
Минтай	рыба	54	15.9	0.9	0	120	420	40	55	240	0.8	0	0.01	0.11	0.11	1	1.8	72
Осетр	рыба	36	16.4	10.9	0	100	335	30	35	220	0.6	0	0	0	0	0	0	164
Абрикосы	фрукты	14	0.9	0.1	9	3	305	28	8	26	0.7	1.6	0	0.03	0.06	0.7	10	41
Алыча	фрукты	13	0.2	0	6.4	17	188	27	21	25	1.9	0.16	0	0.02	0.03	0.5	13	27
Апельсин	фрукты	30	0.9	0.2	8.1	13	197	34	13	23	0.3	0.05	0	0.04	0.03	0.2	60	40
Грейпфрут	фрукты	35	0.9	0.2	6.5	13	184	23	10	18	0.5	0.02	0	0.05	0.03	0.23	45	35
Груша	фрукты	10	0.4	0.3	9.5	14	155	19	12	16	2.3	0.01	0	0.02	0.03	0.1	5	42
Персик	фрукты	20	0.9	0.1	9.5	30	363	20	16	34	0.6	0.5	0	0.04	0.08	0.7	10	43
Баклажаны	овощи	10	1.2	0.1	5.1	6	238	15	9	34	0.4	0.02	0	0.04	0.05	0.6	5	24
Кабачки	овощи	25	0.6	0.3	4.9	2	238	15	9	12	0.4	0.03	0	0.03	0.03	0.6	15	23
Капуста	овощи	20	1.8	0.1	4.7	13	185	48	16	31	0.6	0.02	0	0.03	0.04	0.74	45	27
Картофель	овощи	28	2	0.4	16.3	28	568	10	23	58	0.9	0.02	0	0.12	0.07	1.3	20	80
Морковь	овощи	20	1.3	0.1	7.2	21	200	51	38	55	0.7	9	0	0.06	0.07	1	5	30
Огурцы	овощи	7	0.8	0.1	2.6	8	141	23	14	42	0.6	0.06	0	0.03	0.04	0.2	10	14
Перец	овощи	25	1.3	0	5.3	19	163	8	4	16	0.8	1	0	0.06	0.1	0.6	150	26
Редис	овощи	20	1.2	0.1	3.8	10	255	39	13	44	1	0	0	0.01	0.04	0.1	25	21
Свекла	овощи	20	1.5	0.1	9.1	86	288	37	22	43	1.4	0.01	0	0.02	0.04	0.2	10	42
Томаты	овощи	5	1.1	0.2	3.8	40	290	14	20	26	0.9	1.2	0	0.06	0.04	0.53	25	23
